enrollment_id,username,course_id,course_num,nondropout_num,dropout,nondrop_precent
1,0,28,6,4.0,0,0.6666666666666666
3,1,9,3,3.0,0,1.0
4,2,28,2,1.0,0,0.5
5,3,9,1,1.0,0,1.0
6,4,22,1,1.0,0,1.0
7,5,9,4,0.0,1,0.0
9,6,28,2,1.0,1,0.5
12,7,28,1,1.0,0,1.0
13,8,4,3,3.0,0,1.0
14,9,28,1,0.0,1,0.0
16,10,28,6,4.0,0,0.6666666666666666
18,11,28,1,1.0,0,1.0
20,12,28,6,4.0,0,0.6666666666666666
22,13,9,3,1.0,1,0.3333333333333333
23,12,22,6,4.0,0,0.6666666666666666
26,14,28,3,2.0,0,0.6666666666666666
28,12,10,6,4.0,1,0.6666666666666666
30,15,28,1,1.0,0,1.0
31,16,28,2,0.0,1,0.0
32,17,22,7,5.0,0,0.7142857142857143
35,18,28,3,3.0,0,1.0
39,19,28,1,0.0,1,0.0
45,20,9,1,1.0,0,1.0
46,21,33,2,0.0,1,0.0
48,22,22,1,1.0,0,1.0
49,23,9,14,2.0,0,0.14285714285714285
50,24,9,3,1.0,1,0.3333333333333333
51,25,4,9,5.0,0,0.5555555555555556
53,26,28,3,1.0,0,0.3333333333333333
54,27,28,1,0.0,1,0.0
55,28,22,2,1.0,0,0.5
58,29,9,4,3.0,0,0.75
60,30,28,2,1.0,0,0.5
65,31,28,1,0.0,1,0.0
67,32,28,1,0.0,1,0.0
68,33,28,2,1.0,0,0.5
69,34,28,1,1.0,0,1.0
70,35,22,2,2.0,0,1.0
71,36,28,1,1.0,0,1.0
73,37,28,1,0.0,1,0.0
74,38,28,3,1.0,0,0.3333333333333333
75,39,28,1,1.0,0,1.0
76,40,28,1,1.0,0,1.0
78,41,28,1,1.0,0,1.0
80,6,22,2,1.0,0,0.5
81,42,28,2,2.0,0,1.0
82,43,22,1,1.0,0,1.0
83,44,28,2,1.0,0,0.5
86,45,28,1,1.0,0,1.0
87,46,22,2,2.0,0,1.0
88,47,28,1,1.0,0,1.0
90,48,28,2,2.0,0,1.0
92,49,28,1,0.0,1,0.0
93,50,22,3,1.0,1,0.3333333333333333
94,51,28,1,1.0,0,1.0
95,52,28,4,1.0,0,0.25
96,53,9,7,2.0,1,0.2857142857142857
97,54,10,1,0.0,1,0.0
98,55,28,4,1.0,0,0.25
101,56,28,5,0.0,1,0.0
102,57,28,1,0.0,1,0.0
103,58,28,1,1.0,0,1.0
104,59,28,5,2.0,0,0.4
106,60,28,1,0.0,1,0.0
107,61,28,1,0.0,1,0.0
